optimisation, search_interval, real time (ms), user time (ms), sys time (ms);
--, 10000000, 1731, 1726, 5;
-O0, 10000000, 1717, 1704, 12;
-O1, 10000000, 1719, 1711, 9;
-O2, 10000000, 1720, 1710, 10;
-O3, 10000000, 1718, 1710, 8;
